BLOC109
Date:,2023/11/20
Time:,15:42:19
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,SHO1,,,ELB1,,,HAN1,,,SHO2,,,ELB2,,,HAN2,,,SHO3,,,ELB3,,,HAN3,,,SHO4,,,ELB4,,,HAN4,,,SHO5,,,ELB5,,,HAN5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-876.139771,589.526428,1456.711548,-697.897644,465.202209,1285.369385,-461.616730,574.927429,1595.695801,185.751694,1424.957275,1400.790894,61.965748,1218.608398,1193.953613,227.623581,1177.130249,1539.864746,1161.564697,612.678467,1432.286621,943.768311,669.077759,1187.485107,919.166321,556.786194,1582.741455,575.011902,-295.002808,1336.409912,565.547241,-164.536758,1110.690063,330.604492,-125.607452,1422.697754,-486.563202,-453.009338,1379.041748,-271.528717,-391.470032,1169.745728,-326.924805,-212.720825,1475.664063
2,-876.062256,589.517883,1456.705933,-697.831177,465.255310,1285.309692,-461.821228,574.933350,1595.787964,185.778488,1424.935913,1400.800537,62.035160,1218.546143,1193.883667,227.561600,1177.183838,1539.831787,1161.861328,612.122559,1431.994141,944.142883,668.276672,1186.911621,919.280701,556.696106,1582.336792,575.112061,-295.057922,1336.415527,565.547363,-164.536804,1110.689941,330.794708,-125.898201,1422.786377,-486.521667,-452.904510,1379.032593,-271.467438,-391.431610,1169.736206,-326.965271,-212.668518,1475.676514
3,-876.047668,589.507751,1456.721558,-697.775391,465.230835,1285.332031,-461.991150,574.965271,1595.880371,185.698273,1424.842529,1400.766968,62.003777,1218.516846,1193.858765,227.424789,1177.244019,1539.817505,1162.087769,611.671997,1431.641357,944.538086,667.702148,1186.497437,919.433105,556.587158,1582.005249,575.143250,-295.198303,1336.372925,565.547363,-164.536804,1110.689941,330.982697,-126.234612,1422.928955,-486.450745,-452.819580,1379.062134,-271.534454,-391.066223,1169.387817,-326.988983,-212.633408,1475.662720
4,-875.955688,589.525269,1456.728271,-697.696472,465.210876,1285.320435,-462.221466,574.934448,1595.970947,185.608887,1424.787598,1400.732300,62.004452,1218.519531,1193.796387,227.371063,1177.264404,1539.772827,1162.317749,611.206299,1431.280396,944.833130,667.281799,1186.145874,919.590027,556.526489,1581.722046,575.157471,-295.260437,1336.351440,565.547363,-164.536804,1110.689941,331.223145,-126.716286,1423.105591,-486.378143,-452.789764,1379.095215,-271.398804,-391.333588,1169.718994,-326.936798,-212.622498,1475.689941
5,-875.936890,589.485657,1456.710083,-697.680481,465.167999,1285.324097,-462.402710,574.941101,1596.057251,185.590103,1424.734619,1400.709839,61.992649,1218.444214,1193.751587,227.322159,1177.304321,1539.760254,1162.450684,610.759705,1430.993896,945.109009,666.727661,1185.827393,919.647766,556.379456,1581.383911,575.228210,-295.386200,1336.281128,565.547363,-164.536804,1110.689941,331.416931,-127.102272,1423.279907,-486.313049,-452.717255,1379.097534,-271.337616,-391.370819,1169.803833,-326.775848,-212.619125,1475.812500
6,-875.841248,589.470276,1456.731812,-697.605347,465.193390,1285.321533,-462.538300,574.953247,1596.162598,185.520706,1424.632324,1400.687866,61.998959,1218.435669,1193.743286,227.310837,1177.315063,1539.758911,1162.571655,610.321899,1430.745117,945.469788,666.250061,1185.610352,919.798218,556.277893,1581.182739,575.199219,-295.475708,1336.249268,565.547363,-164.536804,1110.689941,331.625610,-127.506805,1423.383545,-486.226532,-452.637390,1379.169800,-271.247009,-391.300293,1169.852173,-326.599426,-212.608917,1475.895996
7,-875.823730,589.436951,1456.746582,-697.531189,465.169189,1285.324585,-462.703278,574.963989,1596.234985,185.495651,1424.596191,1400.685425,62.059422,1218.383423,1193.683960,227.230255,1177.296021,1539.721924,1162.734253,609.827637,1430.509155,945.587341,665.397888,1185.171631,919.945923,556.146667,1580.979126,575.221130,-295.536133,1336.207520,565.477905,-164.552765,1110.665527,331.817535,-127.765846,1423.424805,-486.107666,-452.571289,1379.192627,-271.141754,-391.238037,1169.872192,-326.458740,-212.598038,1476.014893
8,-875.743103,589.394470,1456.770020,-697.454041,465.147644,1285.311401,-462.913605,574.927307,1596.327515,185.474777,1424.532471,1400.662842,62.036766,1218.325684,1193.662109,227.278503,1177.352173,1539.715942,1162.843872,609.389832,1430.329590,945.747437,664.587708,1184.743408,920.163330,556.097168,1580.977173,575.225159,-295.641357,1336.191895,565.473999,-164.551971,1110.662964,332.007019,-128.175766,1423.560791,-486.020844,-452.490204,1379.197144,-271.046753,-391.045502,1169.810547,-326.294525,-212.551163,1476.094849
9,-875.724670,589.339233,1456.830811,-697.436401,465.151520,1285.341309,-463.190704,574.875732,1596.443481,185.440292,1424.460815,1400.697510,62.018360,1218.347046,1193.625244,227.214645,1177.342773,1539.675781,1163.044922,608.949890,1430.083496,945.677673,663.739502,1184.276123,920.238342,555.887146,1580.754395,575.232788,-295.654205,1336.113770,565.475708,-164.552246,1110.664063,332.297302,-128.552643,1423.803101,-485.974457,-452.412537,1379.226196,-270.947937,-390.964569,1169.849121,-326.082550,-212.524658,1476.249634
10,-875.655579,589.384277,1456.801636,-697.403809,465.159363,1285.307373,-463.374420,574.835815,1596.479370,185.439728,1424.459351,1400.699951,62.011230,1218.282837,1193.580322,227.224884,1177.305298,1539.679077,1163.136108,608.553650,1429.818115,945.740112,663.275879,1183.943359,920.292297,555.622925,1580.550781,575.247009,-295.691010,1336.124756,565.473633,-164.570465,1110.618164,332.554199,-128.943634,1424.006958,-485.898621,-452.352173,1379.236206,-270.694550,-390.982544,1170.007690,-325.924438,-212.469788,1476.349121
